,Unnamed: 0,sp500_x,gas_x,sp500_y,gas_y
1996-10-16 00:00:00,,,,-8.727422364840782,-17.217095106318393
1996-10-17 00:00:00,,,,-8.759004676208132,-17.372136049311393
1996-10-18 00:00:00,,,,-8.786217844377632,-17.53044741398725
1996-10-21 00:00:00,,,,-8.817835592119982,-17.688877843677343
1996-10-22 00:00:00,,,,-8.836480874020467,-17.831390019692165
1996-10-23 00:00:00,,,,-8.862181784082628,-17.97610060878316
1996-10-24 00:00:00,,,,-8.864966220083446,-18.118938905499913
1996-10-25 00:00:00,,,,-8.87706945762783,-18.07844471762291
1996-10-28 00:00:00,,,,-8.887032003114735,-18.041652277539487
1996-10-29 00:00:00,,,,-8.885098408052945,-18.008893585732793
1996-10-30 00:00:00,,,,-8.889704601517025,-17.963049629181036
1996-10-31 00:00:00,,,,-8.878010140087062,-17.921994601735868
1996-11-01 00:00:00,,,,-8.874607929355228,-17.889282603198232
1996-11-04 00:00:00,,,,-8.870075245287747,-16.813123466365983
1996-11-05 00:00:00,,,,-8.868247282981784,-15.755242424435657
1996-11-06 00:00:00,,,,-8.799876913191534,-15.126502100091093
1996-11-07 00:00:00,,,,-8.749530312191972,-14.776704180086094
1996-11-08 00:00:00,,,,-8.71267872839398,-14.484084763107184
1996-11-11 00:00:00,,,,-8.689204611583065,-14.236747717031436
1996-11-12 00:00:00,,,,-8.67462860828904,-13.892582263418829
1996-11-13 00:00:00,,,,-8.670145741876436,-13.726059190228286
1996-11-14 00:00:00,,,,-8.66724676299675,-13.521249759425615
1996-11-15 00:00:00,,,,-8.673484676699196,-12.993997342278861
1996-11-18 00:00:00,,,,-8.686971114287537,-11.922757728171302
1996-11-19 00:00:00,,,,-8.695686904356055,-10.500945488453462
1996-11-20 00:00:00,,,,-8.711501992254496,-6.708984016909981
1996-11-21 00:00:00,,,,-8.732950207086121,-3.9641774567020813
1996-11-22 00:00:00,,,,-8.748923846110847,-1.096929882616181
1996-11-25 00:00:00,,,,-8.744156646209719,1.6880062975594912
1996-11-26 00:00:00,,,,-8.741118723584693,4.199097561439184
1996-11-27 00:00:00,,,,-8.74426353188983,6.494987149332917
1996-11-28 00:00:00,,,,-8.74426353188983,6.494987149332917
1996-11-29 00:00:00,,,,-8.756700562051494,6.494987149332917
1996-12-02 00:00:00,,,,-8.886337712189059,8.41377417340527
1996-12-03 00:00:00,,,,-8.909999075586944,9.494981884498937
1996-12-04 00:00:00,,,,-8.945041598446995,10.350354641698333
1996-12-05 00:00:00,,,,-8.985331068753101,11.252704109469892
1996-12-06 00:00:00,,,,-9.018486462762644,11.933084431495464
1996-12-09 00:00:00,,,,-9.005132240806596,12.43393093285757
1996-12-10 00:00:00,,,,-9.005648621174812,13.027794373945392
1996-12-11 00:00:00,,,,-8.98749160946952,13.571509225479915
1996-12-12 00:00:00,,,,-8.942490467730758,14.149735062113267
1996-12-13 00:00:00,,,,-8.912334843996675,14.912673603527848
1996-12-16 00:00:00,,,,-8.884787056361652,16.026554066583046
1996-12-17 00:00:00,,,,-8.85694601384582,16.922435302506944
1996-12-18 00:00:00,,,,-8.832469958963086,17.759175125571414
1996-12-19 00:00:00,,,,-8.756158394351415,18.69604033256374
1996-12-20 00:00:00,,,,-8.695965816439374,19.330499457141922
1996-12-23 00:00:00,,,,-8.652110223162346,19.595800863210833
1996-12-24 00:00:00,,,,-8.616849658230278,19.7819607816371
